Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20,10/23/20,11/25/20,12/11/20,12/16/20,2/3/21,2/12/21,2/19/21
33,CHO-hFcgRIIA-131His,IgG1,100,IgG2,0,4030,22569,,2837,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,90,IgG2,10,2940,22486,,2935,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,66,IgG2,33,3195,18011,,4453,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,33,IgG2,66,497,16661,,1402,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,10,IgG2,90,1032,12731,,1064,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,0,IgG2,100,169,15743,,,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,100,IgG3,0,3574,23607,,2941,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,90,IgG3,10,4031,27290,,3123,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,66,IgG3,33,4722,35686,,3104,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,33,IgG3,66,4260,32188,,782,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,10,IgG3,90,4609,34855,,3887,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,0,IgG3,100,1265,29632,,4244,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,100,IgG4,0,4369,22136,,2443,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,90,IgG4,10,3962,23739,,2400,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,66,IgG4,33,3773,19378,,1961,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,33,IgG4,66,1868,17261,,4471,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,10,IgG4,90,1615,20380,,529,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG1,0,IgG4,100,100,27091,,1346,,,,,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,100,IgG3,0,,,,,715,230,1149,337,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,90,IgG3,10,,,,,1826,570,3302,2753,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,66,IgG3,33,,,,,2438,879,4749,3801,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,33,IgG3,66,,,,,2985,3009,4726,3923,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,10,IgG3,90,,,,,3231,1779,5232,3781,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,0,IgG3,100,,,,,4638,,6272,3777,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,100,IgG4,0,,,,,1071,321,2325,277,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,90,IgG4,10,,,,,488,662,2019,489,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,66,IgG4,33,,,,,833,414,2413,497,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,33,IgG4,66,,,,,1537,324,2629,306,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,10,IgG4,90,,,,,692,588,1962,630,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG2,0,IgG4,100,,,,,2586,661,2411,1088,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG3,100,IgG4,0,,,,,2770,1978,4655,4596,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG3,90,IgG4,10,,,,,6148,2290,5895,5162,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG3,66,IgG4,33,,,,,3986,1659,5614,4775,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG3,33,IgG4,66,,,,,2963,1865,5997,498,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG3,10,IgG4,90,,,,,2168,1138,4099,3628,,,,,,,,,
33,CHO-hFcgRIIA-131His,IgG3,0,IgG4,100,,,,,557,773,3344,695,,,,,,,,,
4,CHO-hFcgRIIA-131Arg,IgG1,100,IgG2,0,,,,,,,,,,,,,,,1404,5205,3734
4,CHO-hFcgRIIA-131Arg,IgG1,90,IgG2,10,,,,,,,,,,,,,,,537,6008,2651
4,CHO-hFcgRIIA-131Arg,IgG1,66,IgG2,33,,,,,,,,,,,,,,,535,5037,3777
4,CHO-hFcgRIIA-131Arg,IgG1,33,IgG2,66,,,,,,,,,,,,,,,531,5112,3023
4,CHO-hFcgRIIA-131Arg,IgG1,10,IgG2,90,,,,,,,,,,,,,,,2769,2689,3676
4,CHO-hFcgRIIA-131Arg,IgG1,0,IgG2,100,,,,,,,,,,,,,,,1171,3691,2641
4,CHO-hFcgRIIA-131Arg,IgG1,100,IgG3,0,,,,,,,,,,,,,,,627,5606,4438
4,CHO-hFcgRIIA-131Arg,IgG1,90,IgG3,10,,,,,,,,,,,,,,,686,7840,5629
4,CHO-hFcgRIIA-131Arg,IgG1,66,IgG3,33,,,,,,,,,,,,,,,541,10446,4195
4,CHO-hFcgRIIA-131Arg,IgG1,33,IgG3,66,,,,,,,,,,,,,,,888,13070,10830
4,CHO-hFcgRIIA-131Arg,IgG1,10,IgG3,90,,,,,,,,,,,,,,,1076,8755,5773
4,CHO-hFcgRIIA-131Arg,IgG1,0,IgG3,100,,,,,,,,,,,,,,,1405,9476,7290
4,CHO-hFcgRIIA-131Arg,IgG1,100,IgG4,0,,,,,,,,,,,,,,,748,4987,4184
4,CHO-hFcgRIIA-131Arg,IgG1,90,IgG4,10,,,,,,,,,,,,,,,772,5897,4110
