Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20
4,hFcgRIIIA-131Val,IgG3,100,IgG4,0,,,,,1194,1910,1660,241,,614
4,hFcgRIIIA-131Val,IgG3,90,IgG4,10,,,,,1957,1575,1643,227,,704
4,hFcgRIIIA-131Val,IgG3,66,IgG4,33,,,,,1482,1156,1521,283,,653
4,hFcgRIIIA-131Val,IgG3,33,IgG4,66,,,,,1673,861,822,370,,5564
4,hFcgRIIIA-131Val,IgG3,10,IgG4,90,,,,,713,507,670,257,,6248
4,hFcgRIIIA-131Val,IgG3,0,IgG4,100,,,,,171,99,217,95,,-52
33,hFcgRIIIA-131Val,IgG1,100,IgG2,0,3396,21399,2973,7037,,,,,298,
33,hFcgRIIIA-131Val,IgG1,90,IgG2,10,2486,18255,2430,7459,,,,,2601,
33,hFcgRIIIA-131Val,IgG1,66,IgG2,33,2122,15453,1651,6039,,,,,2210,
33,hFcgRIIIA-131Val,IgG1,33,IgG2,66,388,14798,631,5608,,,,,1219,
33,hFcgRIIIA-131Val,IgG1,10,IgG2,90,700,11026,447,7134,,,,,668,
33,hFcgRIIIA-131Val,IgG1,0,IgG2,100,-9,2300,-227,2652,,,,,571,
33,hFcgRIIIA-131Val,IgG1,100,IgG3,0,3100,24756,2496,10361,,,,,3089,
33,hFcgRIIIA-131Val,IgG1,90,IgG3,10,2840,21237,2570,6969,,,,,3864,
33,hFcgRIIIA-131Val,IgG1,66,IgG3,33,3301,27163,2770,12055,,,,,3634,
33,hFcgRIIIA-131Val,IgG1,33,IgG3,66,2795,28901,2813,6528,,,,,10422,
33,hFcgRIIIA-131Val,IgG1,10,IgG3,90,4078,32107,3155,19506,,,,,6436,
33,hFcgRIIIA-131Val,IgG1,0,IgG3,100,2602,33994,4348,10919,,,,,3522,
33,hFcgRIIIA-131Val,IgG1,100,IgG4,0,3638,16238,2326,11260,,,,,5946,
33,hFcgRIIIA-131Val,IgG1,90,IgG4,10,3079,21355,2155,7558,,,,,3014,
33,hFcgRIIIA-131Val,IgG1,66,IgG4,33,4291,18333,1404,7634,,,,,2204,
33,hFcgRIIIA-131Val,IgG1,33,IgG4,66,1652,14900,668,11049,,,,,3233,
33,hFcgRIIIA-131Val,IgG1,10,IgG4,90,3347,19376,439,6283,,,,,2400,
33,hFcgRIIIA-131Val,IgG1,0,IgG4,100,390,19422,-203,7239,,,,,8739,
33,hFcgRIIIA-131Val,IgG2,100,IgG3,0,,,,,95,257,270,72,,1411
33,hFcgRIIIA-131Val,IgG2,90,IgG3,10,,,,,869,2879,743,222,,3673
33,hFcgRIIIA-131Val,IgG2,66,IgG3,33,,,,,3913,3665,2342,212,,650
33,hFcgRIIIA-131Val,IgG2,33,IgG3,66,,,,,3684,4058,3606,282,,683
33,hFcgRIIIA-131Val,IgG2,10,IgG3,90,,,,,5984,2602,3412,317,,497
33,hFcgRIIIA-131Val,IgG2,0,IgG3,100,,,,,4029,-3,3648,250,,700
33,hFcgRIIIA-131Val,IgG2,100,IgG4,0,,,,,247,329,92,233,,1499
33,hFcgRIIIA-131Val,IgG2,90,IgG4,10,,,,,666,787,270,157,,1922
33,hFcgRIIIA-131Val,IgG2,66,IgG4,33,,,,,1700,1797,476,92,,4663
33,hFcgRIIIA-131Val,IgG2,33,IgG4,66,,,,,1551,3793,687,204,,2077
33,hFcgRIIIA-131Val,IgG2,10,IgG4,90,,,,,3047,1280,772,145,,7219
33,hFcgRIIIA-131Val,IgG2,0,IgG4,100,,,,,1215,549,966,515,,8236
33,hFcgRIIIA-131Val,IgG3,100,IgG4,0,,,,,3327,2423,2701,341,,563
33,hFcgRIIIA-131Val,IgG3,90,IgG4,10,,,,,1751,3106,2842,398,,2250
33,hFcgRIIIA-131Val,IgG3,66,IgG4,33,,,,,2992,3592,3610,273,,970
33,hFcgRIIIA-131Val,IgG3,33,IgG4,66,,,,,3784,3048,1690,156,,3537
33,hFcgRIIIA-131Val,IgG3,10,IgG4,90,,,,,3140,2085,1142,127,,6618
33,hFcgRIIIA-131Val,IgG3,0,IgG4,100,,,,,2566,907,1211,-38,,9127
